Year,Month,Day,Movement,UOM,Family,Material,Business_Unit,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0119,PB,Representative 27,Item 0026,5500,29568.00,23583.99,16786.00,6797.99,33572.00,5.38
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1133,CE,Representative 39,Item 0026,4400,23469.60,18719.80,13428.80,5291.00,26857.60,5.33
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1247,PE,Representative 27,Item 0026,1980,10727.64,8556.57,6042.96,2513.61,12085.92,5.42
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0712,SP,Representative 46,Item 0026,2200,12980.00,9442.94,6714.40,2728.54,13428.80,5.90
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0432,CE,Representative 39,Item 0026,1100,5994.45,4781.29,3357.20,1424.09,6714.40,5.45
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0471,AL,Representative 27,Item 0026,6600,35758.80,28521.90,20143.20,8378.70,40286.40,5.42
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,1100,6664.35,4998.26,3357.20,1641.06,6714.40,6.06
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0258,MG,Representative 29,Item 0026,1320,7650.72,5738.04,4028.64,1709.40,8057.28,5.80
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0686,RN,Representative 27,Item 0026,2200,11965.80,9544.15,6714.40,2829.75,13428.80,5.44
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1074,GO,Representative 24,Item 0026,6600,38775.52,25979.25,20143.20,5836.05,40286.40,5.88
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1287,RJ,Representative 35,Item 0026,220,1362.90,1022.17,671.44,350.73,1342.88,6.20
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0457,SP,Representative 43,Item 0026,11000,68145.00,47214.74,33572.00,13642.74,67144.00,6.20
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0996,RS,Representative 12,Item 0026,1100,7137.90,5353.42,3357.20,1996.22,6714.40,6.49
2011,2,7,Sales,kg,Family 14,Material 44,BU Alpha,Client 0667,RS,Representative 57,Item 0026,440,2910.60,2044.36,1365.67,678.69,2731.34,6.62
2011,2,7,Sales,kg,Family 14,Material 44,BU Alpha,Client 0527,RS,Representative 57,Item 0028,20,153.00,112.85,77.70,35.15,155.40,7.65
2011,2,7,Sales,kg,Family 14,Material 44,BU Bravo,Client 0019,SC,Representative 12,Item 0026,1100,6641.25,4664.68,3466.10,1198.58,6932.20,6.04
2011,2,7,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,4400,27766.20,19502.45,13864.40,5638.05,27728.80,6.31
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 1100,SP,Representative 12,Item 0026,3300,19404.00,13444.20,10071.60,3372.60,20143.20,5.88
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 1517,AL,Representative 27,Item 0026,2200,11896.50,9488.88,6714.40,2774.48,13428.80,5.41
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 1133,CE,Representative 39,Item 0026,4400,23469.60,18719.80,13428.80,5291.00,26857.60,5.33
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0439,CE,Representative 39,Item 0026,2200,12127.50,9673.12,6714.40,2958.72,13428.80,5.51
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0793,CE,Representative 11,Item 0026,440,2762.76,2203.64,1335.22,868.42,2670.44,6.28
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0432,CE,Representative 39,Item 0026,2200,11988.90,9562.59,6714.40,2848.19,13428.80,5.45
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0783,MT,Representative 24,Item 0026,2200,12243.00,9765.25,6714.40,3050.85,13428.80,5.57
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0663,PI,Representative 27,Item 0026,5060,27308.82,21782.04,15443.12,6338.92,30886.24,5.40
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0045,MG,Representative 12,Item 0026,1100,6213.90,4660.42,3357.20,1303.22,6714.40,5.65
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0700,MG,Representative 29,Item 0026,9680,52852.80,39639.60,29543.36,10096.24,59086.72,5.46
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0072,SP,Representative 10,Item 0026,6600,40194.00,27848.70,20028.36,7820.34,40056.72,6.09
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0457,SP,Representative 43,Item 0026,10340,64056.30,44381.86,31377.76,13004.10,62755.52,6.20
2011,2,7,Sales,kg,Family 14,Material 44,BU Charlie,Client 0683,AM,Representative 12,Item 0026,8800,47121.18,39692.40,26857.60,12834.80,53715.20,5.35
2011,2,14,Sales,kg,Family 14,Material 44,BU Bravo,Client 0054,PR,Representative 49,Item 0026,440,2864.40,2148.30,1386.70,761.60,2773.40,6.51
2011,2,14,Sales,kg,Family 14,Material 44,BU Bravo,Client 0728,SC,Representative 07,Item 0026,2640,18295.20,12850.20,8320.22,4529.98,16640.44,6.93
2011,2,14,Sales,kg,Family 14,Material 44,BU Bravo,Client 1276,PR,Representative 49,Item 0026,1100,6641.25,4980.94,3466.76,1514.18,6933.52,6.04
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1326,ES,Representative 37,Item 0026,220,1328.25,1059.44,667.61,391.83,1335.22,6.04
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1162,MS,Representative 24,Item 0026,2200,13028.40,10391.70,6676.12,3715.58,13352.24,5.92
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1100,SP,Representative 12,Item 0026,4400,27258.00,18885.90,13352.24,5533.66,26704.48,6.20
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 0119,PB,Representative 27,Item 0026,1100,5971.35,4762.85,3338.06,1424.79,6676.12,5.43
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1297,SP,Representative 46,Item 0026,220,1640.10,1136.36,667.61,468.75,1335.22,7.46
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1247,PE,Representative 27,Item 0026,2200,11919.60,9507.30,6676.12,2831.18,13352.24,5.42
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 0712,SP,Representative 46,Item 0026,1100,6490.00,4721.48,3338.06,1383.42,6676.12,5.90
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,440,2656.50,1992.37,1335.22,657.15,2670.44,6.04
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 0258,MG,Representative 29,Item 0026,2860,17542.14,13156.59,8678.96,4477.63,17357.92,6.13
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1287,RJ,Representative 35,Item 0026,220,1586.94,1022.17,667.61,354.56,1335.22,7.21
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 0072,SP,Representative 10,Item 0026,3300,20097.00,13924.35,10014.18,3910.17,20028.36,6.09
2011,2,14,Sales,kg,Family 14,Material 44,BU Charlie,Client 1536,SP,Representative 43,Item 0026,11440,73873.80,51184.00,34715.83,16468.17,69431.66,6.46
2011,2,21,Sales,kg,Family 14,Material 44,BU Alpha,Client 0667,RS,Representative 57,Item 0026,220,1556.94,1093.55,702.57,390.98,1405.14,7.08
2011,2,21,Sales,kg,Family 14,Material 44,BU Bravo,Client 0054,PR,Representative 49,Item 0026,1540,10025.40,7519.05,4853.45,2665.60,9706.90,6.51
2011,2,21,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,1100,7449.75,5232.56,3466.76,1765.80,6933.52,6.77
2011,2,21,Sales,kg,Family 14,Material 44,BU Bravo,Client 1276,PR,Representative 49,Item 0026,1100,6872.25,5154.19,3466.76,1687.43,6933.52,6.25
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0677,RN,Representative 27,Item 0026,2200,12705.00,10133.75,6676.12,3457.63,13352.24,5.78
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 1517,AL,Representative 27,Item 0026,1100,6352.50,5066.87,3338.06,1728.81,6676.12,5.78
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 1298,RS,Representative 25,Item 0026,1760,10847.76,8135.83,5340.90,2794.93,10681.80,6.16
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0119,PB,Representative 27,Item 0026,440,2471.70,1971.48,1335.22,636.26,2670.44,5.62
