Year,Month,Day,Movement,UOM,Family,Material,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price,Business_Unit
2010.0,4.0,19.0,0,0,0,0,41,20,18,0,33220.0,208588.38,144521.97,103061.74,41460.23,206123.48,6.28,2
2010.0,4.0,26.0,0,0,0,0,63,18,5,0,220.0,1386.0,973.5,721.14,252.36,1442.28,6.3,0
2010.0,4.0,26.0,0,0,0,0,120,19,23,0,660.0,4795.56,3368.31,2134.7,1233.61,4269.4,7.27,1
2010.0,4.0,26.0,0,0,0,0,78,19,23,0,220.0,1519.98,1067.6,711.57,356.03,1423.14,6.91,1
2010.0,4.0,26.0,0,0,0,0,3,20,4,0,4400.0,24855.6,17221.34,13650.56,3570.78,27301.12,5.65,2
2010.0,4.0,26.0,0,0,0,0,136,12,10,0,660.0,3527.37,2813.5,2047.58,765.92,4095.16,5.34,2
2010.0,4.0,26.0,0,0,0,0,24,7,12,0,3300.0,18433.8,13825.35,10237.92,3587.43,20475.84,5.59,2
2010.0,4.0,26.0,0,0,0,0,168,20,18,0,11440.0,73273.2,50767.86,35491.46,15276.4,70982.92,6.41,2
2010.0,4.0,26.0,0,0,0,0,41,20,18,0,11440.0,71831.76,49769.16,35491.46,14277.7,70982.92,6.28,2
2010.0,5.0,10.0,0,0,0,0,5,14,20,0,440.0,2753.52,2065.14,1434.62,630.52,2869.24,6.26,1
2010.0,5.0,10.0,0,0,0,0,120,19,23,0,880.0,6394.08,4491.08,2869.24,1621.84,5738.48,7.27,1
2010.0,5.0,10.0,0,0,0,0,9,19,1,0,440.0,2748.9,1930.77,1434.62,496.15,2869.24,6.25,1
2010.0,5.0,10.0,0,0,0,0,13,11,10,0,8800.0,45276.0,36112.98,28478.56,7634.42,56957.12,5.15,2
2010.0,5.0,10.0,0,0,0,0,111,20,4,0,4840.0,30237.9,20950.53,15663.21,5287.32,31326.42,6.25,2
2010.0,5.0,10.0,0,0,0,0,41,20,18,0,11220.0,69507.9,48159.04,36310.16,11848.88,72620.32,6.2,2
2010.0,5.0,17.0,0,0,0,0,86,18,22,0,220.0,1536.15,1066.52,739.38,327.14,1478.76,6.98,0
2010.0,5.0,17.0,0,0,0,0,103,18,22,2,40.0,327.6,230.1,162.8,67.3,325.6,8.19,0
